caps,is_text_in_left,is_center,is_text_in_right,is_txt_dwn_head,is_txt_up_head,is_bold,is_word_num,is_left_algnd,IsColonEnd,relative_text_height,black_percent,avg_word_height,avg_word_width,thickness,is_header
0,0,0,1,0.666666667,0.142857143,0,0,0,1,0.289473684,0.376470588,0.23943662,0.132352941,0.333333333,0
0,0,0,1,0.666666667,0.714285714,0,0,0,0,0.578947368,0.5,0.028169014,0.052941176,0,0
0,0,0,0,0.333333333,0.571428571,0,0,0,1,0.447368421,0.432803778,0.23943662,0.402941176,0.416666667,1
0,0,0,1,0.666666667,0.285714286,0,0,0,0,0.552631579,0.330353515,0.323943662,0.157352941,0.25,0
0,1,0,0,0.833333333,0.285714286,0,0,0,0,0.026315789,0.5,0.028169014,0.002941176,0,0
0,1,0,0,1,1,0,0,0,0,0.368421053,0.472636816,0.042253521,0.295588235,0,0
0,0,0,1,0.166666667,0.428571429,0,0,0,0,0.355263158,0.434339142,0.183098592,0.266176471,0.291666667,0
0,0,0,0,0.333333333,0.142857143,0,0,0,1,0.434210526,0.271927335,0.183098592,0.398529412,0.333333333,0
0,0,0,0,0.5,0.285714286,0,0,0,1,0.434210526,0.468586387,0.225352113,0.561764706,0.416666667,1
0,0,0,1,0.333333333,0.428571429,0,0,0,1,0.368421053,0.457855974,0.183098592,0.276470588,0.333333333,0
0,1,0,1,0.333333333,0.428571429,0,0,0,1,0.671052632,0.112368024,0.718309859,0.038235294,0.083333333,0
0,1,0,1,0.666666667,0.428571429,0,0,0,0,0.092105263,0.521252796,0.042253521,0.219117647,0,0
0,1,0,1,0.5,0.285714286,0,0,0,0,0.210526316,0.41835443,0.056338028,0.580882353,0,0
0,0,0,1,0.333333333,0.142857143,0,0,0,0,0.578947368,0.330659537,0.23943662,0.097058824,0.291666667,0
0,1,0,1,0.5,0.714285714,0,0,0,0,0.210526316,0.488584475,0.042253521,0.322058824,0,0
0,0,0,1,0.333333333,0.714285714,0,0,0,1,0.368421053,0.464402619,0.183098592,0.276470588,0.333333333,0
0,1,0,1,0.333333333,0.142857143,0,1,0,0,0.513157895,0.367647059,0.478873239,0.008823529,0.166666667,0
0,1,0,1,0.5,0.285714286,0,0,0,0,0.197368421,0.424050633,0.056338028,0.580882353,0,0
0,0,0,1,0.333333333,0.142857143,0,0,0,0,0.565789474,0.344290657,0.23943662,0.1,0.270833333,0
0,1,0,1,0.5,1,0,0,0,1,0.276315789,0.460364063,0.183098592,0.192647059,0.291666667,0
0,1,0,1,0.833333333,0.428571429,0,0,0,0,0.210526316,0.414876033,0.070422535,0.533823529,0.083333333,0
0,0,0,1,0.833333333,0.285714286,0,0,0,1,0.276315789,0.441251057,0.183098592,0.133823529,0.291666667,0
0,1,0,1,0.666666667,0.142857143,0,1,0,0,0.407894737,0.296296296,0.38028169,0.010294118,0.166666667,0
0,1,0,1,1,0.714285714,0,0,0,0,0.197368421,0.485319516,0.042253521,0.283823529,0,0
0,1,0,1,1,0.714285714,0,0,0,0,0.092105263,0.426666667,0.042253521,0.036764706,0,0
0,0,0,1,0.5,0.714285714,0,0,0,1,0.355263158,0.4806231,0.197183099,0.276470588,0.333333333,0
0,1,0,1,0.833333333,0.142857143,0,1,0,0,0.486842105,0.281512605,0.478873239,0.010294118,0.104166667,0
0,0,0,1,0.5,0.428571429,0,0,0,0,0.355263158,0.327302632,0.225352113,0.111764706,0.291666667,0
0,1,0,1,0.666666667,0.285714286,0,0,0,0,0.026315789,0.5,0.028169014,0.002941176,0,0
