caps,is_text_in_left,is_center,is_text_in_right,is_txt_dwn_head,"is_txt_up_head,is_bold",is_word_num,is_left_algnd,IsColonEnd,relative_text_height,black_percent,avg_word_height,avg_word_width,thickness,is_header
0,0,0,1,0.6666666666666666,0.2857142857142857,0,0,0,0,0.35526315789473684,0.050617283950617285,0.38028169014084506,0.04411764705882353,0.08333333333333333,0
0,0,0,1,0.6666666666666666,0.42857142857142855,0,0,0,0,0.39473684210526316,0.3115546218487395,0.19718309859154928,1.0,0.16666666666666666,0
0,0,0,0,0.5,0.42857142857142855,0,0,0,1,0.4342105263157895,0.43819806403574085,0.23943661971830985,0.4647058823529412,0.4166666666666667,1
0,0,0,1,1,0.42857142857142855,0,0,0,0,0.5789473684210527,0.2425431711145997,0.39436619718309857,0.5352941176470588,0.25,0
0,1,0,1,1,1,0,0,0,0,0.05263157894736842,0.45,0.028169014084507043,0.014705882352941176,0.0,0
0,1,0,1,1,1,0,0,0,0,0.02631578947368421,0.4782608695652174,0.028169014084507043,0.033823529411764704,0.0,0
0,1,0,1,1,1,0,0,0,0,0.5263157894736842,0.35343035343035345,0.18309859154929578,0.27205882352941174,0.2916666666666667,0
0,1,0,0,1,1,0,0,0,0,0.02631578947368421,0.6,0.028169014084507043,0.007352941176470588,0.0,0
0,1,0,1,0.16666666666666666,0.14285714285714285,0,1,0,0,0.7236842105263158,0.3244047619047619,0.676056338028169,0.010294117647058823,0.08333333333333333,0
0,0,0,1,0.16666666666666666,0.5714285714285714,0,0,0,0,0.27631578947368424,0.47275641025641024,0.18309859154929578,0.07058823529411765,0.2916666666666667,0
0,0,0,1,0.16666666666666666,0.7142857142857143,0,0,0,0,0.07894736842105263,0.34375,0.056338028169014086,0.011764705882352943,0.0,0
0,1,0,1,1,0.7142857142857143,0,0,0,0,0.10526315789473684,0.4130434782608695,0.04225352112676056,0.20294117647058824,0.0,0
0,0,0,1,1,0.8571428571428571,0,0,0,0,0.02631578947368421,0.0,0.028169014084507043,0.0029411764705882357,0.0,0
0,0,0,1,0.6666666666666666,0.14285714285714285,0,0,0,1,0.2894736842105263,0.3764705882352941,0.23943661971830985,0.1323529411764706,0.3333333333333333,0
0,0,0,1,0.6666666666666666,0.7142857142857143,0,0,0,0,0.5789473684210527,0.5,0.028169014084507043,0.052941176470588235,0.0,0
0,0,0,0,0.3333333333333333,0.5714285714285714,0,0,0,1,0.4473684210526316,0.43280377844568485,0.23943661971830985,0.40294117647058825,0.4166666666666667,1
0,0,0,1,0.6666666666666666,0.2857142857142857,0,0,0,0,0.5526315789473685,0.3303535148313694,0.323943661971831,0.15735294117647058,0.25,0
0,1,0,0,0.8333333333333334,0.2857142857142857,0,0,0,0,0.02631578947368421,0.5,0.028169014084507043,0.0029411764705882357,0.0,0
0,1,0,0,1,1,0,0,0,0,0.3684210526315789,0.472636815920398,0.04225352112676056,0.29558823529411765,0.0,0
0,0,0,1,0.16666666666666666,0.42857142857142855,0,0,0,0,0.35526315789473684,0.4343391415214619,0.18309859154929578,0.2661764705882353,0.2916666666666667,0
0,0,0,0,0.3333333333333333,0.14285714285714285,0,0,0,1,0.4342105263157895,0.271927334657962,0.18309859154929578,0.3985294117647059,0.3333333333333333,0
0,0,0,0,0.5,0.2857142857142857,0,0,0,1,0.4342105263157895,0.468586387434555,0.22535211267605634,0.5617647058823529,0.4166666666666667,1
0,0,0,1,0.3333333333333333,0.42857142857142855,0,0,0,1,0.3684210526315789,0.45785597381342064,0.18309859154929578,0.27647058823529413,0.3333333333333333,0
0,1,0,1,0.3333333333333333,0.42857142857142855,0,0,0,1,0.6710526315789473,0.11236802413273002,0.7183098591549296,0.038235294117647055,0.08333333333333333,0
0,1,0,1,0.6666666666666666,0.42857142857142855,0,0,0,0,0.09210526315789473,0.5212527964205816,0.04225352112676056,0.21911764705882353,0.0,0
0,1,0,1,0.5,0.2857142857142857,0,0,0,0,0.21052631578947367,0.41835443037974684,0.056338028169014086,0.5808823529411765,0.0,0
0,0,0,1,0.3333333333333333,0.14285714285714285,0,0,0,0,0.5789473684210527,0.3306595365418895,0.23943661971830985,0.09705882352941177,0.2916666666666667,0
0,1,0,1,0.5,0.7142857142857143,0,0,0,0,0.21052631578947367,0.4885844748858447,0.04225352112676056,0.32205882352941173,0.0,0
0,0,0,1,0.3333333333333333,0.7142857142857143,0,0,0,1,0.3684210526315789,0.4644026186579378,0.18309859154929578,0.27647058823529413,0.3333333333333333,0
0,1,0,1,0.3333333333333333,0.14285714285714285,0,1,0,0,0.5131578947368421,0.36764705882352944,0.4788732394366197,0.008823529411764706,0.16666666666666666,0
0,1,0,1,0.5,0.2857142857142857,0,0,0,0,0.19736842105263158,0.42405063291139233,0.056338028169014086,0.5808823529411765,0.0,0
0,0,0,1,0.3333333333333333,0.14285714285714285,0,0,0,0,0.5657894736842105,0.3442906574394463,0.23943661971830985,0.1,0.2708333333333333,0
